image_id,status,error_message,model_id,model_split,id_match,split_match,ground_truth_total_calories,gemini_total_calories,abs_error_total_calories,pct_error_total_calories,ground_truth_total_protein,gemini_total_protein,abs_error_total_protein,pct_error_total_protein,ground_truth_total_carb,gemini_total_carb,abs_error_total_carb,pct_error_total_carb,ground_truth_total_fat,gemini_total_fat,abs_error_total_fat,pct_error_total_fat,ground_truth_total_mass,gemini_total_mass,abs_error_total_mass,pct_error_total_mass,raw_model_json
dish_1558116146,failed,400 User location is not supported for the API use.,,,,,76.589996,,,,0.777000,,,,19.980001,,,,0.222000,,,,111.000000,,,,{}
dish_1563207277,failed,400 User location is not supported for the API use.,,,,,153.089996,,,,1.300000,,,,23.700001,,,,6.100000,,,,106.000000,,,,{}
dish_1567024252,failed,400 User location is not supported for the API use.,,,,,512.015808,,,,22.622000,,,,49.058388,,,,25.921192,,,,454.000000,,,,{}
dish_1564690138,failed,400 User location is not supported for the API use.,,,,,190.499496,,,,10.031026,,,,24.872919,,,,6.844433,,,,181.000000,,,,{}
dish_1561666923,failed,400 User location is not supported for the API use.,,,,,539.638550,,,,34.942749,,,,55.690098,,,,22.059612,,,,425.000000,,,,{}
dish_1562689548,failed,400 User location is not supported for the API use.,,,,,216.540009,,,,19.500000,,,,18.101999,,,,7.533000,,,,267.000000,,,,{}
dish_1567526738,failed,Model output is not a valid JSON object.,,,,,225.159988,,,,43.299999,,,,3.031000,,,,0.866000,,,,433.000000,,,,{}
dish_1558719401,failed,The write operation timed out,,,,,51.988998,,,,1.519000,,,,10.780000,,,,1.176000,,,,49.000000,,,,{}
dish_1565022062,failed,"Model output is not a valid JSON object. Raw preview: {""id"": ""dish_15",,,,,234.606583,,,,19.271049,,,,30.903877,,,,2.846122,,,,366.000000,,,,{}
dish_1564073677,ok,,dish_1564073677,test,True,True,108.967804,277.000000,168.032196,154.203526,4.507317,13.000000,8.492683,188.419918,9.771708,31.000000,21.228292,217.242390,5.668293,10.200000,4.531707,79.948355,92.000000,250.000000,158.000000,171.739130,"{""id"": ""dish_1564073677"", ""split"": ""test"", ""ingredients"": [{""id"": ""ingr_100000000000000000000001"", ""name"": ""scrambled eggs"", ""grams"": 100.0, ""calories"": 148.0, ""fat"": 10.0, ""carb"": 1.0, ""protein"": 11.0}, {""id"": ""ingr_100000000000000000000002"", ""name"": ""sweet potato"", ""grams"": 150.0, ""calories"": 129.0, ""fat"": 0.2, ""carb"": 30.0, ""protein"": 2.0}], ""total_calories"": 277.0, ""total_mass"": 250.0, ""total_fat"": 10.2, ""total_carb"": 31.0, ""total_protein"": 13.0}"
dish_1565030391,ok,,dish_1565030391,test,True,True,609.333923,437.000000,172.333923,28.282345,52.597542,38.100000,14.497542,27.563155,12.058959,50.700000,38.641041,320.434301,37.047943,9.400000,27.647943,74.627471,313.000000,400.000000,87.000000,27.795527,"{""id"": ""dish_1565030391"", ""split"": ""test"", ""ingredients"": [{""id"": ""ingredient_1705030391"", ""name"": ""arugula"", ""grams"": 30, ""calories"": 8, ""fat"": 0.2, ""carb"": 1.5, ""protein"": 0.8}, {""id"": ""ingredient_1705030392"", ""name"": ""broccoli"", ""grams"": 100, ""calories"": 34, ""fat"": 0.4, ""carb"": 6.6, ""protein"": 2.8}, {""id"": ""ingredient_1705030393"", ""name"": ""rice"", ""grams"": 150, ""calories"": 195, ""fat"": 0.4, ""carb"": 42.6, ""protein"": 4.3}, {""id"": ""ingredient_1705030394"", ""name"": ""chicken"", ""grams"": 120, ""calories"": 200, ""fat"": 8.4, ""carb"": 0, ""protein"": 30.2}], ""total_calories"": 437, ""total_mass"": 400, ""total_fat"": 9.4, ""total_carb"": 50.7, ""total_protein"": 38.1}"
dish_1564171888,ok,,dish_1564171888,test,True,True,345.125885,338.000000,7.125885,2.064721,36.027115,24.700000,11.327115,31.440528,7.637636,28.200000,20.562364,269.224195,17.510075,13.300000,4.210075,24.043729,194.000000,213.398000,19.398000,9.998969,"{""id"": ""dish_1564171888"", ""split"": ""test"", ""ingredients"": [{""id"": ""salmon"", ""name"": ""salmon"", ""grams"": 113.398, ""calories"": 208.0, ""fat"": 13.0, ""carb"": 0.0, ""protein"": 22.0}, {""id"": ""rice"", ""name"": ""rice"", ""grams"": 100.0, ""calories"": 130.0, ""fat"": 0.3, ""carb"": 28.2, ""protein"": 2.7}], ""total_calories"": 338.0, ""total_mass"": 213.398, ""total_fat"": 13.3, ""total_carb"": 28.2, ""total_protein"": 24.7}"
