image_id,run_model,status,error_message,model_id,model_split,id_match,split_match,ground_truth_total_calories,gemini_total_calories,abs_error_total_calories,pct_error_total_calories,ground_truth_total_protein,gemini_total_protein,abs_error_total_protein,pct_error_total_protein,ground_truth_total_carb,gemini_total_carb,abs_error_total_carb,pct_error_total_carb,ground_truth_total_fat,gemini_total_fat,abs_error_total_fat,pct_error_total_fat,ground_truth_total_mass,gemini_total_mass,abs_error_total_mass,pct_error_total_mass,raw_model_json
dish_1558116146,gemini-3.1-flash-lite-preview,failed,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,76.589996,,,,0.777000,,,,19.980001,,,,0.222000,,,,111.000000,,,,{}
dish_1563207277,gemini-3.1-flash-lite-preview,failed,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,153.089996,,,,1.300000,,,,23.700001,,,,6.100000,,,,106.000000,,,,{}
dish_1567024252,gemini-3.1-flash-lite-preview,ok,,dish_1567024252,test,True,True,512.015808,438.000000,74.015808,14.455766,22.622000,18.900000,3.722000,16.453010,49.058388,50.000000,0.941612,1.919370,25.921192,18.700000,7.221192,27.858256,454.000000,360.000000,94.000000,20.704846,"{""id"": ""dish_1567024252"", ""split"": ""test"", ""ingredients"": [{""id"": ""pizza_slice"", ""name"": ""cheese pizza"", ""grams"": 120.0, ""calories"": 320.0, ""fat"": 12.0, ""carb"": 38.0, ""protein"": 14.0}, {""id"": ""zucchini_sauteed"", ""name"": ""sauteed zucchini"", ""grams"": 80.0, ""calories"": 40.0, ""fat"": 2.5, ""carb"": 4.0, ""protein"": 1.5}, {""id"": ""cauliflower_steamed"", ""name"": ""steamed cauliflower"", ""grams"": 70.0, ""calories"": 18.0, ""fat"": 0.2, ""carb"": 3.5, ""protein"": 1.4}, {""id"": ""mixed_salad"", ""name"": ""mixed green salad with feta and red onion"", ""grams"": 90.0, ""calories"": 60.0, ""fat"": 4.0, ""carb"": 4.5, ""protein"": 2.0}], ""total_calories"": 438.0, ""total_mass"": 360.0, ""total_fat"": 18.7, ""total_carb"": 50.0, ""total_protein"": 18.9}"
dish_1564690138,gemini-3.1-flash-lite-preview,ok,,dish_1564690138,test,True,True,190.499496,285.900000,95.400504,50.079137,10.031026,25.000000,14.968974,149.226749,24.872919,31.500000,6.627081,26.643761,6.844433,7.600000,0.755567,11.039147,181.000000,280.000000,99.000000,54.696133,"{""id"": ""dish_1564690138"", ""split"": ""test"", ""ingredients"": [{""id"": ""green_beans"", ""name"": ""green beans"", ""grams"": 120.0, ""calories"": 37.2, ""fat"": 0.3, ""carb"": 8.4, ""protein"": 2.2}, {""id"": ""chickpeas"", ""name"": ""chickpeas"", ""grams"": 80.0, ""calories"": 131.2, ""fat"": 2.1, ""carb"": 22.0, ""protein"": 7.0}, {""id"": ""arugula"", ""name"": ""arugula"", ""grams"": 30.0, ""calories"": 7.5, ""fat"": 0.2, ""carb"": 1.1, ""protein"": 0.8}, {""id"": ""cooked_meat"", ""name"": ""cooked meat"", ""grams"": 50.0, ""calories"": 110.0, ""fat"": 5.0, ""carb"": 0.0, ""protein"": 15.0}], ""total_calories"": 285.9, ""total_mass"": 280.0, ""total_fat"": 7.6, ""total_carb"": 31.5, ""total_protein"": 25.0}"
dish_1561666923,gemini-3.1-flash-lite-preview,ok,,dish_1561666923,test,True,True,539.638550,695.000000,155.361450,28.789909,34.942749,50.500000,15.557251,44.522115,55.690098,59.000000,3.309902,5.943430,22.059612,28.900000,6.840388,31.008651,425.000000,520.000000,95.000000,22.352941,"{""id"": ""dish_1561666923"", ""split"": ""test"", ""ingredients"": [{""id"": ""caesar_salad"", ""name"": ""Caesar salad"", ""grams"": 120.0, ""calories"": 180.0, ""fat"": 14.0, ""carb"": 8.0, ""protein"": 5.0}, {""id"": ""mixed_greens"", ""name"": ""Mixed greens salad"", ""grams"": 80.0, ""calories"": 25.0, ""fat"": 0.5, ""carb"": 4.0, ""protein"": 1.5}, {""id"": ""corn_on_cob"", ""name"": ""Corn on the cob"", ""grams"": 70.0, ""calories"": 65.0, ""fat"": 0.8, ""carb"": 15.0, ""protein"": 2.0}, {""id"": ""pizza_slice"", ""name"": ""Pizza slice"", ""grams"": 90.0, ""calories"": 240.0, ""fat"": 10.0, ""carb"": 28.0, ""protein"": 10.0}, {""id"": ""chicken_pieces"", ""name"": ""Grilled chicken pieces"", ""grams"": 100.0, ""calories"": 165.0, ""fat"": 3.5, ""carb"": 0.0, ""protein"": 31.0}, {""id"": ""green_beans"", ""name"": ""Green beans"", ""grams"": 60.0, ""calories"": 20.0, ""fat"": 0.1, ""carb"": 4.0, ""protein"": 1.0}], ""total_calories"": 695.0, ""total_mass"": 520.0, ""total_fat"": 28.9, ""total_carb"": 59.0, ""total_protein"": 50.5}"
dish_1562689548,gemini-3.1-flash-lite-preview,ok,,dish_1562689548,test,True,True,216.540009,187.000000,29.540009,13.641825,19.500000,16.900000,2.600000,13.333333,18.101999,15.500000,2.601999,14.374098,7.533000,6.600000,0.933000,12.385504,267.000000,230.000000,37.000000,13.857678,"{""id"": ""dish_1562689548"", ""split"": ""test"", ""ingredients"": [{""id"": ""cottage_cheese_001"", ""name"": ""cottage cheese"", ""grams"": 150.0, ""calories"": 147.0, ""fat"": 6.5, ""carb"": 5.0, ""protein"": 16.5}, {""id"": ""pineapple_001"", ""name"": ""pineapple chunks"", ""grams"": 80.0, ""calories"": 40.0, ""fat"": 0.1, ""carb"": 10.5, ""protein"": 0.4}], ""total_calories"": 187.0, ""total_mass"": 230.0, ""total_fat"": 6.6, ""total_carb"": 15.5, ""total_protein"": 16.9}"
dish_1567526738,gemini-3.1-flash-lite-preview,ok,,dish_1567526738,test,True,True,225.159988,104.000000,121.159988,53.810621,43.299999,21.800000,21.499999,49.653579,3.031000,1.500000,1.531000,50.511382,0.866000,0.400000,0.466000,53.810624,433.000000,200.000000,233.000000,53.810624,"{""id"": ""dish_1567526738"", ""split"": ""test"", ""ingredients"": [{""id"": ""egg_whites_001"", ""name"": ""egg whites"", ""grams"": 200.0, ""calories"": 104.0, ""fat"": 0.4, ""carb"": 1.5, ""protein"": 21.8}], ""total_calories"": 104.0, ""total_mass"": 200.0, ""total_fat"": 0.4, ""total_carb"": 1.5, ""total_protein"": 21.8}"
dish_1558719401,gemini-3.1-flash-lite-preview,ok,,dish_1558719401,test,True,True,51.988998,43.000000,8.988998,17.290193,1.519000,1.500000,0.019000,1.250823,10.780000,9.500000,1.280000,11.873840,1.176000,0.600000,0.576000,48.979592,49.000000,45.000000,4.000000,8.163265,"{""id"": ""dish_1558719401"", ""split"": ""test"", ""ingredients"": [{""id"": ""corn_cob_slice"", ""name"": ""corn on the cob slice"", ""grams"": 45.0, ""calories"": 43.0, ""fat"": 0.6, ""carb"": 9.5, ""protein"": 1.5}], ""total_calories"": 43.0, ""total_mass"": 45.0, ""total_fat"": 0.6, ""total_carb"": 9.5, ""total_protein"": 1.5}"
dish_1565022062,gemini-3.1-flash-lite-preview,failed,Server disconnected without sending a response.,,,,,234.606583,,,,19.271049,,,,30.903877,,,,2.846122,,,,366.000000,,,,{}
dish_1564073677,gemini-3.1-flash-lite-preview,ok,,dish_1564073677,test,True,True,108.967804,147.000000,38.032196,34.902232,4.507317,7.600000,3.092683,68.614721,9.771708,15.100000,5.328292,54.527745,5.668293,6.100000,0.431707,7.616173,92.000000,130.000000,38.000000,41.304348,"{""id"": ""dish_1564073677"", ""split"": ""test"", ""ingredients"": [{""id"": ""scrambled_eggs_001"", ""name"": ""scrambled eggs"", ""grams"": 60.0, ""calories"": 85.0, ""fat"": 6.0, ""carb"": 0.6, ""protein"": 6.5}, {""id"": ""sweet_potato_001"", ""name"": ""roasted sweet potato"", ""grams"": 70.0, ""calories"": 62.0, ""fat"": 0.1, ""carb"": 14.5, ""protein"": 1.1}], ""total_calories"": 147.0, ""total_mass"": 130.0, ""total_fat"": 6.1, ""total_carb"": 15.1, ""total_protein"": 7.6}"
dish_1565030391,gemini-3.1-flash-lite-preview,ok,,dish_1565030391,test,True,True,609.333923,335.000000,274.333923,45.021935,52.597542,22.300000,30.297542,57.602582,12.058959,46.000000,33.941041,281.459129,37.047943,8.600000,28.447943,76.786835,313.000000,330.000000,17.000000,5.431310,"{""id"": ""dish_1565030391"", ""split"": ""test"", ""ingredients"": [{""id"": ""ing_001"", ""name"": ""mixed greens salad"", ""grams"": 80.0, ""calories"": 20.0, ""fat"": 0.2, ""carb"": 4.0, ""protein"": 1.5}, {""id"": ""ing_002"", ""name"": ""steamed broccoli"", ""grams"": 100.0, ""calories"": 35.0, ""fat"": 0.4, ""carb"": 7.0, ""protein"": 2.8}, {""id"": ""ing_003"", ""name"": ""rice with meat"", ""grams"": 150.0, ""calories"": 280.0, ""fat"": 8.0, ""carb"": 35.0, ""protein"": 18.0}], ""total_calories"": 335.0, ""total_mass"": 330.0, ""total_fat"": 8.6, ""total_carb"": 46.0, ""total_protein"": 22.3}"
dish_1564171888,gemini-3.1-flash-lite-preview,ok,,dish_1564171888,test,True,True,345.125885,317.500000,27.625885,8.004582,36.027115,27.600000,8.427115,23.391035,7.637636,14.300000,6.662364,87.230709,17.510075,15.500000,2.010075,11.479534,194.000000,185.000000,9.000000,4.639175,"{""id"": ""dish_1564171888"", ""split"": ""test"", ""ingredients"": [{""id"": ""salmon_fillet"", ""name"": ""cooked salmon"", ""grams"": 120.0, ""calories"": 250.0, ""fat"": 15.0, ""carb"": 0.0, ""protein"": 26.0}, {""id"": ""brown_rice"", ""name"": ""brown rice"", ""grams"": 60.0, ""calories"": 66.0, ""fat"": 0.5, ""carb"": 14.0, ""protein"": 1.5}, {""id"": ""green_onions"", ""name"": ""green onions"", ""grams"": 5.0, ""calories"": 1.5, ""fat"": 0.0, ""carb"": 0.3, ""protein"": 0.1}], ""total_calories"": 317.5, ""total_mass"": 185.0, ""total_fat"": 15.5, ""total_carb"": 14.3, ""total_protein"": 27.6}"
